detected_object,confidence,object_index,accept,healthy,damaged,vcuts,dead,crowd,occluded,other_problem
2,0.842,16,True,False,True,False,False,False,False,False
3,0.771,5,False,True,False,False,False,True,False,False
4,0.764,9,True,False,True,False,False,False,False,False
5,0.743,3,False,True,False,False,False,False,True,False
6,0.73,12,True,False,True,False,False,False,False,False
7,0.699,2,True,False,True,False,False,False,False,False
8,0.691,20,False,False,False,False,False,False,True,False
9,0.678,7,True,False,True,False,False,False,False,False
10,0.65,0,True,False,True,False,False,False,False,False
11,0.63,24,False,False,False,False,False,True,False,False
12,0.616,8,True,False,True,True,False,False,False,False
13,0.568,22,True,False,True,False,False,False,False,False
14,0.535,15,False,False,False,False,False,False,True,False
15,0.511,14,True,False,False,False,True,False,False,False
16,0.48,4,True,False,False,False,True,False,False,False
17,0.47,11,False,True,False,False,False,False,True,False
18,0.458,10,True,False,True,True,False,False,False,False
19,0.412,21,False,False,False,False,False,False,True,False
20,0.402,19,False,False,False,False,False,False,True,False
21,0.397,23,False,False,False,False,False,False,True,False
22,0.348,6,False,False,False,False,False,False,True,False
23,0.344,18,False,False,False,False,False,True,False,False
24,0.32,13,False,False,False,False,False,False,True,False
25,0.281,17,False,False,False,False,False,True,False,False
26,0.26,1,False,False,False,False,False,False,True,False
